Gene_ID,TG_D14,TG_D0,log2FoldChange,pvalue,padj,GeneName,Chrom,Strand,Start,End,GeneLength,GeneType,GeneDescription,TG_D14_1_readcount,TG_D14_2_readcount,TG_D14_3_readcount,TG_D0_1_readcount,TG_D0_2_readcount,TG_D0_3_readcount,TG_D14_1_fpkm,TG_D14_2_fpkm,TG_D14_3_fpkm,TG_D0_1_fpkm,TG_D0_2_fpkm,TG_D0_3_fpkm
ENSMUSG00000004035,465.4673324,782.1239482,-0.70981,4.28E-07,1.64E-05,Gstm7,chr3,-,107926334,107931817,1377,protein_coding,glutathione_S-transferase_mu_7,493,517,433,751,754,781,18.33653473,19.40312709,18.41368133,30.21309576,26.41908316,25.7551932
ENSMUSG00000031312,2200.744716,3668.724019,-0.70969,5.25E-09,3.46E-07,Itgb1bp2,chrX,+,101449088,101453541,1314,protein_coding,integrin_beta_1_binding_protein_2,2326,2292,2173,3342,3589,3835,90.66060891,90.14349108,96.83916318,140.8965343,131.7827086,132.5310752
ENSMUSG00000075307,854.6857035,1423.220851,-0.70789,6.00E-09,3.88E-07,Klhl41,chr2,+,69670120,69684230,2529,protein_coding,kelch-like_41,865,984,800,1278,1441,1463,17.51747735,20.10765358,18.52370365,27.99440588,27.49131334,26.26898032
ENSMUSG00000032724,294.0318622,495.3315884,-0.70774,3.49E-06,9.79E-05,Abtb2,chr2,+,103566310,103718423,4558,protein_coding,ankyrin_repeat_and_BTB_(POZ)_domain_containing_2,307,348,260,368,533,573,3.449596838,3.945663538,3.340301695,4.472627485,5.642001854,5.708579052
ENSMUSG00000041939,98.87882569,176.4218583,-0.70753,0.0017099,0.015692,Mvk,chr5,+,114444269,114460591,2380,protein_coding,mevalonate_kinase,124,104,81,201,156,151,2.668388219,2.258247341,1.992942316,4.678518281,3.162481383,2.881029523
ENSMUSG00000023259,153.5762399,263.5049602,-0.70597,9.84E-05,0.0015951,Slc26a6,chr9,+,108854037,108913049,2402,protein_coding,solute_carrier_family_26_member_6,185,169,126,259,262,248,3.944600376,3.636041463,3.071738272,5.973322892,5.262700131,4.688418772
ENSMUSG00000009293,724.6120169,1215.781667,-0.7051,1.54E-06,4.93E-05,Ube2g2,chr10,+,77622275,77645993,2031,protein_coding,ubiquitin-conjugating_enzyme_E2G_2,804,699,729,1163,1152,1239,20.2745121,17.78616749,21.01862354,31.72188759,27.36672903,27.70187092
ENSMUSG00000020988,476.3774629,795.8579087,-0.70472,3.07E-07,1.23E-05,L2hgdh,chr12,-,69690436,69724874,3338,protein_coding,L-2-hydroxyglutarate_dehydrogenase,579,485,418,621,878,863,8.883753874,7.50879991,7.332914415,10.30610347,12.69078597,11.74011042
ENSMUSG00000022677,544.5960727,905.9902133,-0.70452,2.72E-08,1.45E-06,Fopnl,chr16,-,14299244,14317375,1465,protein_coding,Fgfr1op_N-terminal_like,557,612,517,799,936,931,19.47250648,21.58882087,20.66519869,30.21331545,30.8260984,28.85757112
ENSMUSG00000001151,810.9186018,1359.570254,-0.70438,1.60E-06,5.09E-05,Pcnt,chr10,-,76351254,76442912,9530,protein_coding,pericentrin_(kendrin),995,823,706,954,1591,1517,5.347298972,4.462950397,4.338089095,5.545551011,8.054852932,7.228370395
ENSMUSG00000042350,352.8687606,595.948313,-0.70421,1.54E-05,0.00035031,Arel1,chr12,-,84918148,84970900,5446,protein_coding,apoptosis_resistant_E3_ubiquitin_protein_ligase_1,323,420,347,509,714,537,3.037590122,3.98553639,3.731113879,5.177610494,6.325588134,4.477590444
ENSMUSG00000029020,10005.52436,16653.52309,-0.70371,4.76E-08,2.38E-06,Mfn2,chr4,-,147873599,147904704,4341,protein_coding,mitofusin_2,10505,10527,9851,16219,16895,15530,123.9397333,125.3227634,132.8853792,206.9776818,187.7797457,162.4536181
ENSMUSG00000041920,81.16528817,143.1779832,-0.70335,0.0014649,0.0139,Slc16a6,chr11,-,109450855,109473598,4219,protein_coding,solute_carrier_family_16_(monocarboxylic_acid_transporters)_member_6,70,112,71,125,163,134,0.849753185,1.371903685,0.985452034,1.641306608,1.864053683,1.442258115
ENSMUSG00000040502,91.76968517,162.9758777,-0.70214,0.0021409,0.018736,9-Mar,chr10,-,127055011,127060184,3037,protein_coding,membrane-associated_ring_finger_(C3HC4)_9,102,85,95,180,160,131,1.720123647,1.446402818,1.831746963,3.283348211,2.541882827,1.958728408
ENSMUSG00000022010,3408.437599,5632.195717,-0.70127,5.75E-10,4.53E-08,Tsc22d1,chr14,+,76414961,76507765,4999,protein_coding,TSC22_domain_family_member_1,3734,3622,3201,4531,5699,6441,38.25563924,37.44384464,37.49636812,50.21114857,55.00420051,58.50835405
ENSMUSG00000029545,2500.605389,4195.348001,-0.70047,5.00E-06,0.00013348,Acads,chr5,-,115110299,115119346,2023,protein_coding,acyl-Coenzyme_A_dehydrogenase_short_chain,2660,2537,2509,4273,3584,4337,67.34262488,64.80965504,72.62588629,117.0108786,85.47762653,97.35118846
ENSMUSG00000046909,187.2591555,316.8733279,-0.70017,5.65E-05,0.0010217,Tefm,chr11,-,80136678,80142175,1309,protein_coding,transcription_elongation_factor_mitochondrial,201,178,196,280,315,337,7.86431132,7.027413055,8.768051492,11.84970709,11.61050858,11.69063154
ENSMUSG00000024063,7467.527417,12782.96039,-0.6998,0.00021966,0.003077,Lbh,chr17,+,72918305,72941942,3064,protein_coding,limb-bud_and_heart,5698,9573,7719,13764,12533,10727,95.24407545,161.4635227,147.5227321,248.8542909,197.3543099,158.9780765
ENSMUSG00000062209,65.47150364,117.6428613,-0.69957,0.0043916,0.032727,Erbb4,chr1,-,68032186,69108059,12037,protein_coding,v-erb-a_erythroblastic_leukemia_viral_oncogene_homolog_4_(avian),65,67,69,70,162,123,0.276566378,0.287654828,0.33567384,0.322158066,0.649347377,0.464017724
ENSMUSG00000045875,115.8148665,209.1716381,-0.6992,0.0043787,0.032666,Adra1a,chr14,+,66635251,66733462,4282,protein_coding,adrenergic_receptor_alpha_1a,171,98,93,139,177,309,2.045284532,1.182754307,1.2718121,1.798280222,1.994375543,3.276872433
ENSMUSG00000052934,1503.675785,2513.104629,-0.69915,1.92E-06,5.89E-05,Fbxo31,chr8,-,121549440,121578806,4358,protein_coding,F-box_protein_31,1976,1407,1298,2260,2398,2722,23.22223421,16.6848381,17.44111049,28.72833416,26.54864065,28.36276805
ENSMUSG00000027022,3622.822165,6145.92714,-0.69861,7.77E-05,0.0013234,Xirp2,chr2,+,67446002,67526614,11979,protein_coding,xin_actin-binding_repeat_containing_2,3283,3981,3854,6809,5610,5327,14.03636342,17.17460423,18.83986612,31.48850195,22.59553521,20.1934187
ENSMUSG00000030399,11473.67403,19630.60676,-0.69861,0.000235,0.0032316,Ckm,chr7,+,19411094,19421583,1415,protein_coding,creatine_kinase_muscle,12202,11445,11671,23537,15508,17163,441.6506432,417.9982683,482.9901745,921.4757232,528.785684,550.7880143
ENSMUSG00000032177,701.9107932,1193.315061,-0.69839,9.93E-05,0.0015996,Pde4a,chr9,+,21165714,21213248,4653,protein_coding,phosphodiesterase_4A_cAMP_specific,759,765,652,1366,1070,999,8.354356618,8.496567422,8.205427451,16.26323274,11.09509593,9.749450847
ENSMUSG00000029575,380.5755344,636.1850204,-0.6978,1.81E-06,5.61E-05,Mmab,chr5,-,114431034,114444059,3019,protein_coding,methylmalonic_aciduria_(cobalamin_deficiency)_type_B_homolog_(human),428,440,320,613,615,631,7.260807828,7.531902489,6.206882616,11.24829226,9.828615353,9.491043515
ENSMUSG00000028706,364.2593847,607.1394982,-0.69773,8.52E-07,2.96E-05,Nsun4,chr4,-,116032842,116053876,3920,protein_coding,NOL1/NOP2/Sun_domain_family_member_4,400,400,331,568,585,625,5.226105959,5.273379781,4.944570729,8.0269674,7.200292436,7.240051721
ENSMUSG00000038582,788.7426839,1305.368427,-0.69601,8.61E-08,4.06E-06,Pptc7,chr5,+,122284365,122324281,4644,protein_coding,PTC7_protein_phosphatase_homolog_(S._cerevisiae),872,791,772,1146,1449,1250,9.616755185,8.802365501,9.734457561,13.67041305,15.05415942,12.22265407
ENSMUSG00000026458,53.68730537,95.82745501,-0.69568,0.0034785,0.027353,Ppfia4,chr1,-,134296783,134332928,6067,protein_coding,protein_tyrosine_phosphatase_receptor_type_f_polypeptide_(PTPRF)_interacting_protein_(liprin)_alpha_4,52,67,48,82,116,85,0.438968781,0.570710592,0.463291049,0.748736643,0.922495658,0.636198512
ENSMUSG00000021044,357.1290167,597.258964,-0.6954,6.70E-06,0.0001729,Adck1,chr12,+,88360554,88461719,2287,protein_coding,aarF_domain_containing_kinase_1,373,381,349,578,551,615,8.353086017,8.609420824,8.936056976,14.00073722,11.62427219,12.21115291
ENSMUSG00000071342,177.553422,300.8790682,-0.69531,0.00012056,0.0018719,Lsmem1,chr12,-,40176386,40199315,1213,protein_coding,leucine-rich_single-pass_membrane_protein_1,153,218,177,264,323,299,6.460035676,9.287756442,8.544745505,12.05680832,12.84760151,11.19329902
ENSMUSG00000054021,392.4743642,667.7830284,-0.69485,0.00016666,0.0024617,Sirt5,chr13,+,43370710,43395202,1367,protein_coding,sirtuin_5,464,392,361,718,523,690,17.38416168,14.8194702,15.46412509,29.09679539,18.459227,22.92072204
ENSMUSG00000005150,336.9914277,576.1223981,-0.69417,0.00030155,0.0039858,Wdr83,chr8,-,85075035,85081306,2707,protein_coding,WD_repeat_domain_containing_83,362,366,316,649,446,564,6.848959549,6.987276911,6.835739337,13.2814555,7.949264345,9.461033202
ENSMUSG00000006818,6821.170221,11253.09815,-0.69392,2.19E-08,1.20E-06,Sod2,chr17,+,13007839,13018119,3824,protein_coding,superoxide_dismutase_2_mitochondrial,7576,6747,6723,10106,10812,12133,101.4673618,91.18175605,102.9513141,146.4032241,136.4169985,144.0781198
ENSMUSG00000060376,3669.10513,6166.123772,-0.69344,3.31E-05,0.00066304,Bckdha,chr7,-,25629852,25658761,1773,protein_coding,branched_chain_ketoacid_dehydrogenase_E1_alpha_polypeptide,4657,3254,3444,6095,5116,6750,134.5246246,94.84707417,113.7472941,190.43826,139.2201626,172.8792045
ENSMUSG00000027305,526.7709964,881.4753392,-0.69269,1.49E-05,0.00034179,Ndufaf1,chr2,-,119655446,119662827,1478,protein_coding,NADH_dehydrogenase_(ubiquinone)_1_alpha_subcomplex_assembly_factor_1,607,494,523,869,804,897,21.03383891,17.27299472,20.7211532,32.57126102,26.24592908,27.55914421
ENSMUSG00000039640,767.1594097,1348.081049,-0.69244,0.0022358,0.019402,Mrpl12,chr11,+,120484613,120489065,1316,protein_coding,mitochondrial_ribosomal_protein_L12,769,802,789,1809,967,1037,29.92779614,31.49441924,35.1081367,76.15035075,35.45283106,35.78249222
ENSMUSG00000030990,618.1499729,1033.723781,-0.69229,1.07E-05,0.00026066,Pgap2,chr7,+,102210208,102238567,2141,protein_coding,post-GPI_attachment_to_proteins_2,664,721,540,1060,886,1057,15.88384713,17.4033848,14.76943083,27.4270077,19.96629075,22.41847354
ENSMUSG00000041650,887.3007587,1467.799999,-0.69205,2.38E-07,9.96E-06,Pcca,chr14,+,122534324,122891100,2592,protein_coding,propionyl-Coenzyme_A_carboxylase_alpha_polypeptide,1096,890,775,1342,1429,1535,21.65607982,17.7447602,17.50867866,28.68182285,26.5997508,26.89187606
ENSMUSG00000027963,173.3435342,290.9989766,-0.69104,3.96E-05,0.00076514,Extl2,chr3,+,116007462,116029016,2999,protein_coding,exostoses_(multiple)-like_2,180,194,163,268,313,273,3.073974962,3.34303089,3.182715399,4.950482832,5.035565021,4.133651884
ENSMUSG00000028621,130.1186963,223.2138529,-0.69045,0.00054583,0.0064565,Cyb5rl,chr4,+,107066988,107088268,5471,protein_coding,cytochrome_b5_reductase-like,147,134,122,236,199,212,1.376115563,1.265765368,1.305809376,2.389651221,1.754957881,1.759611795
ENSMUSG00000032348,790.0619524,1310.681649,-0.69021,1.93E-06,5.92E-05,Gsta4,chr9,+,78191966,78209348,957,protein_coding,glutathione_S-transferase_alpha_4,968,748,732,1216,1237,1387,51.80452619,40.39287685,44.79048964,70.38998419,62.36459383,65.8130839
ENSMUSG00000084883,171.13947,292.3782123,-0.68968,0.0003635,0.004642,Ccdc85c,chr12,-,108206345,108275417,1547,protein_coding,coiled-coil_domain_containing_85C,190,209,137,300,316,235,6.290245181,6.981859384,5.185813814,10.74286632,9.855464666,6.898032988
ENSMUSG00000004069,1884.212175,3102.891835,-0.68898,8.59E-08,4.06E-06,Dnaja3,chr16,+,4639989,4707695,2648,protein_coding,DnaJ_(Hsp40)_homolog_subfamily_A_member_3,2037,1988,1803,3003,2963,3097,39.39828656,38.79837396,39.87166877,62.82414429,53.9875982,53.10934472
ENSMUSG00000030884,9102.437469,14922.90548,-0.68644,1.56E-08,8.86E-07,Uqcrc2,chr7,+,120635176,120659478,1850,protein_coding,ubiquinol_cytochrome_c_reductase_core_protein_2,10011,9113,8964,13483,14428,15902,277.1468963,254.5685608,283.7375316,403.7420991,376.2831245,390.3262319
ENSMUSG00000019849,425.4809498,709.3090845,-0.68547,2.50E-05,0.00052666,Prep,chr10,+,45067206,45158997,2729,protein_coding,prolyl_endopeptidase,399,496,419,714,700,652,7.488134672,9.392760879,8.990775513,14.49385481,12.37584441,10.84905169
ENSMUSG00000037216,58.0546321,102.3283444,-0.6844,0.0035866,0.027893,Lipt1,chr1,+,37871738,37877387,2644,protein_coding,lipoyltransferase_1,60,66,54,93,87,120,1.162235365,1.290023465,1.195966392,1.948546294,1.587589208,2.060950275
ENSMUSG00000031641,381.2598745,634.7049865,-0.68395,2.54E-05,0.00053333,Cbr4,chr8,+,61487734,61503482,2393,protein_coding,carbonyl_reductase_4,442,363,372,619,576,657,9.459841442,7.839331898,9.103049579,14.32970272,11.61341969,12.46724199
ENSMUSG00000020182,137.164917,232.6033444,-0.68387,0.0003584,0.0045937,Ddc,chr11,-,11814101,11898144,2018,protein_coding,dopa_decarboxylase,139,182,109,190,281,218,3.527751009,4.660852417,3.162947642,5.215808881,6.718394385,4.905497402
ENSMUSG00000033400,2382.503806,3875.753047,-0.68269,8.81E-11,9.05E-09,Agl,chr3,-,116739999,116808166,9625,protein_coding,amylo-16-glucosidase_4-alpha-glucanotransferase,2660,2508,2216,3159,4212,4099,14.15419534,13.46610261,13.48204228,18.181852,21.11387571,19.33859412
ENSMUSG00000031776,884.1540739,1448.268888,-0.68155,1.10E-07,5.02E-06,Arl2bp,chr8,+,94666755,94674417,1900,protein_coding,ADP-ribosylation_factor-like_2_binding_protein,926,987,827,1378,1477,1383,24.96098229,26.84594383,25.48816532,40.17767923,37.50655974,33.05341204
ENSMUSG00000063919,111.2724118,197.634079,-0.67986,0.0051342,0.036769,Srrm4,chr5,-,116439272,116591817,7476,protein_coding,serine/arginine_repetitive_matrix_4,123,114,107,248,182,134,0.842636185,0.788044394,0.838110249,1.837687319,1.17457954,0.813922818
ENSMUSG00000028140,977.4689033,1605.497115,-0.67976,1.03E-06,3.46E-05,Mrpl9,chr3,+,94443318,94451130,1657,protein_coding,mitochondrial_ribosomal_protein_L9,1022,1067,935,1586,1496,1599,31.58876695,33.27798613,33.0427184,53.02368479,43.5601555,43.82013122
ENSMUSG00000042015,306.6276342,504.2706081,-0.6788,2.99E-06,8.57E-05,Wdr41,chr13,+,94976344,95023314,3063,protein_coding,WD_repeat_domain_41,301,360,289,441,531,513,5.032963551,6.073941844,5.52506654,7.975920622,8.364266478,7.605330413
ENSMUSG00000031519,211.6370006,351.1504013,-0.67839,6.28E-05,0.0011116,Asb5,chr8,+,54550331,54587836,1579,protein_coding,ankyrin_repeat_and_SOCs_box-containing_5,211,232,210,254,396,397,6.843915074,7.593132533,7.787962139,8.911294923,12.1002235,11.41710763
ENSMUSG00000022210,965.0135234,1594.763249,-0.67803,1.63E-05,0.00036735,Dhrs4,chr14,+,55478758,55490338,1390,protein_coding,dehydrogenase/reductase_(SDR_family)_member_4,965,958,1035,1567,1461,1623,35.55631946,35.61769693,43.60258289,62.45157948,50.71258539,53.02143017
ENSMUSG00000031767,510.9936571,837.0644827,-0.67792,7.47E-07,2.68E-05,Nudt7,chr8,+,114133557,114154739,3543,protein_coding,nudix_(nucleoside_diphosphate_linked_moiety_X)-type_motif_7,604,498,480,738,895,831,8.731122323,7.263957856,7.933352505,11.5391665,12.18799365,10.65068621
ENSMUSG00000061603,1194.044333,1952.525186,-0.67762,4.00E-07,1.56E-05,Akap6,chr12,+,52699383,53151015,10263,protein_coding,A_kinase_(PRKA)_anchor_protein_6,1139,1416,1141,1488,2270,2048,5.683994927,7.130238385,6.510254738,8.031891494,10.67165716,9.061567748
ENSMUSG00000038393,5079.474194,8582.124016,-0.67725,0.00053502,0.0063718,Txnip,chr3,+,96557957,96561883,2827,protein_coding,thioredoxin_interacting_protein,6090,5951,3902,4803,8599,12483,110.3305468,108.7875678,80.82544853,94.11871922,146.7582339,200.5122362
ENSMUSG00000026096,262.8113955,431.7285958,-0.67693,2.88E-06,8.33E-05,Osgepl1,chr1,+,53313624,53326343,4005,protein_coding,O-sialoglycoprotein_endopeptidase-like_1,303,280,234,371,459,443,3.874756313,3.613022252,3.421369691,5.131692439,5.529559065,5.022835143
ENSMUSG00000027180,894.7379092,1455.8887,-0.67608,2.54E-08,1.38E-06,Fbxo3,chr2,+,104027721,104063240,4740,protein_coding,F-box_protein_3,1072,908,800,1219,1538,1543,11.5829913,9.899713637,9.88321657,14.24671034,15.65518954,14.78207164
ENSMUSG00000023921,887.6185635,1444.285526,-0.67551,4.15E-08,2.14E-06,Mut,chr17,+,40934685,40961989,3675,protein_coding,methylmalonyl-Coenzyme_A_mutase,1033,925,799,1160,1483,1633,14.39617988,13.00767013,12.73139823,17.48597593,19.46991896,20.17792761
ENSMUSG00000041058,558.1029628,907.209643,-0.67453,4.52E-08,2.29E-06,Wwp1,chr4,-,19608303,19708993,6440,protein_coding,WW_domain_containing_E3_ubiquitin_protein_ligase_1,622,590,518,749,1001,933,4.946622901,4.734577934,4.710104679,6.442956227,7.49943502,6.578751693
ENSMUSG00000050592,270.2132224,468.5172131,-0.67433,0.0029977,0.024426,Fam78a,chr2,-,32050055,32084857,4107,protein_coding,family_with_sequence_similarity_78_member_A,255,321,260,568,485,290,3.179946139,4.039200904,3.707108626,7.661483371,5.697671051,3.206424464
ENSMUSG00000023927,237.0904063,390.9189052,-0.67422,1.49E-05,0.00034179,Satb1,chr17,-,51736187,51833290,6243,protein_coding,special_AT-rich_sequence_binding_protein_1,245,279,213,361,381,404,2.009911967,2.309542687,1.997896267,3.203340447,2.944502837,2.938568024
ENSMUSG00000074623,74.22637817,129.2136537,-0.67384,0.0035291,0.02769,Gm826,chr2,-,160311393,160334162,803,protein_coding,predicted_gene_826,71,99,62,108,110,163,4.528424067,6.371398584,4.521294654,7.450706239,6.609330605,9.217640743
ENSMUSG00000026564,570.2879945,953.5246687,-0.6738,0.0002247,0.0031301,Dusp27,chr1,-,166098153,166127898,4020,protein_coding,dual_specificity_phosphatase_27_(putative),625,604,537,1089,881,776,7.962661442,7.764723781,7.822307771,15.00690237,10.57377809,8.765635077
ENSMUSG00000030357,5881.381626,9731.791624,-0.67337,5.08E-05,0.00093731,Fkbp4,chr6,-,128429735,128438677,2678,protein_coding,FK506_binding_protein_4,5819,6072,6172,10526,8456,9166,111.2863942,117.1753652,134.9590497,217.7419076,152.3472916,155.4236124
ENSMUSG00000090150,854.0533922,1400.049892,-0.67313,3.71E-06,0.00010298,Acad11,chr9,+,104063377,104127656,3463,protein_coding,acyl-Coenzyme_A_dehydrogenase_family_member_11,956,907,786,1427,1310,1335,14.13870676,13.53536342,13.29097133,22.82762408,18.25152428,17.50557952
ENSMUSG00000060681,229.135557,379.0428675,-0.67303,3.20E-05,0.0006452,Slc9a6,chrX,+,56609757,56664230,4897,protein_coding,solute_carrier_family_9_(sodium/hydrogen_exchanger)_member_6,287,251,180,341,398,375,3.001622548,2.6488584,2.152430156,3.857567245,3.92132921,3.477353818
ENSMUSG00000038248,253.2264184,418.1005775,-0.67268,2.73E-05,0.00056508,Sobp,chr10,-,43002500,43174530,4980,protein_coding,sine_oculis-binding_protein_homolog_(Drosophila),249,329,213,369,422,439,2.56079192,3.414142789,2.504591645,4.104745674,4.088494751,4.002975167
ENSMUSG00000040653,1814.985009,2948.135081,-0.66896,4.09E-07,1.58E-05,Ppp1r14c,chr10,+,3366150,3464975,2524,protein_coding,protein_phosphatase_1_regulatory_(inhibitor)_subunit_14c,1799,2014,1790,2362,2883,3481,36.50447436,41.23682702,41.52889229,51.8417643,55.11066203,62.62711288
ENSMUSG00000035933,160.6547721,268.2330046,-0.6687,0.00047646,0.0058134,Cog5,chr12,+,31654869,31937630,2997,protein_coding,component_of_oligomeric_golgi_complex_5,146,176,171,230,323,239,2.494999134,3.034876692,3.341150467,4.2513839,5.199913458,3.62125307
ENSMUSG00000078584,240.8811912,394.9565517,-0.66846,1.20E-05,0.00028499,AU022252,chr4,-,119203570,119232712,7151,protein_coding,expressed_sequence_AU022252,292,264,197,329,421,417,2.09131937,1.907885354,1.613192205,2.548697837,2.840505628,2.647993991
ENSMUSG00000021646,680.9247232,1104.054554,-0.66834,1.15E-07,5.20E-06,Mccc2,chr13,-,99948533,100015639,2123,protein_coding,methylcrotonoyl-Coenzyme_A_carboxylase_2_(beta),792,720,605,988,1081,1175,19.10642676,17.52659808,16.68752953,25.7807876,24.5672212,25.13249419
ENSMUSG00000094114,83.5079835,143.2450381,-0.66815,0.0030898,0.024979,Gm21967,chr13,+,119606650,119610458,1648,protein_coding,predicted_gene_21967,108,70,80,100,164,164,3.356377759,2.195108331,2.842624183,3.361491544,4.801389927,4.518916942
ENSMUSG00000052852,287.3861767,470.6333666,-0.66814,1.94E-05,0.00042886,Reep1,chr6,+,71707561,71810710,3924,protein_coding,receptor_accessory_protein_1,289,334,268,344,553,506,3.772012563,4.398783562,3.999378081,4.856447233,6.799492028,5.855570801
ENSMUSG00000031974,594.5607628,965.0915583,-0.66734,4.33E-07,1.65E-05,Abcb10,chr8,-,123952459,123983122,4306,protein_coding,ATP-binding_cassette_sub-family_B_(MDR/TAP)_member_10,611,667,563,898,954,976,7.267272935,8.005103176,7.656336915,11.55291403,10.68943339,10.29256245
ENSMUSG00000021124,974.0197527,1585.911183,-0.66674,2.14E-06,6.45E-05,Vti1b,chr12,-,79156017,79172667,1490,protein_coding,vesicle_transport_through_interaction_with_t-SNAREs_1B,989,1129,903,1576,1605,1444,33.9949424,39.15820709,35.4885413,58.59481335,51.97196109,44.00769714
ENSMUSG00000036452,620.7554276,1022.93632,-0.66662,8.29E-05,0.0013903,Arhgap26,chr18,+,38601534,39376284,7898,protein_coding,Rho_GTPase_activating_protein_26,791,582,555,679,1151,1234,5.129365431,3.808210802,4.114930652,4.76257552,7.031346992,7.094891343
ENSMUSG00000001380,373.7687592,617.5570025,-0.66637,8.99E-05,0.0014921,Hars,chr18,-,36766530,36783205,1987,protein_coding,histidyl-tRNA_synthetase,408,435,322,656,538,595,10.51638755,11.31374837,9.489529307,18.28922079,13.06365627,13.59774263
ENSMUSG00000036932,1218.106998,2007.538044,-0.66627,7.24E-05,0.001243,Aifm1,chrX,-,48474944,48513563,3364,protein_coding,apoptosis-inducing_factor_mitochondrion-associated_1,1375,1272,1129,2234,1779,1780,20.93394108,19.54097592,19.65280847,36.78886693,25.51527758,24.02767414
ENSMUSG00000003934,1054.853445,1722.12433,-0.66583,8.47E-06,0.00021375,Efnb3,chr11,-,69554092,69560205,3183,protein_coding,ephrin_B3,1109,1089,1054,1735,1556,1721,17.84428677,17.68098137,19.39057283,30.19618455,23.58594548,24.55228689
ENSMUSG00000021235,855.7408764,1391.423674,-0.66549,2.08E-06,6.32E-05,Coq6,chr12,+,84361657,84373796,2851,protein_coding,coenzyme_Q6_homolog_(yeast),946,874,825,1342,1283,1439,16.99410141,15.84270519,16.9450712,26.07621355,21.7124972,22.91982488
ENSMUSG00000028798,892.4777622,1447.749886,-0.66459,8.64E-07,2.97E-05,Eif3i,chr4,-,129591960,129600648,2323,protein_coding,eukaryotic_translation_initiation_factor_3_subunit_I,1017,935,817,1386,1339,1506,22.42208681,20.8006797,20.59489175,33.0524191,27.81068612,29.43902894
ENSMUSG00000031808,2729.595509,4392.30149,-0.66426,4.44E-09,3.01E-07,Slc27a1,chr8,+,71568927,71586708,2795,protein_coding,solute_carrier_family_27_(fatty_acid_transporter)_member_1,3136,2722,2588,3640,4740,4604,57.46435392,50.32936303,54.2212002,72.14542596,81.82327642,74.79993511
ENSMUSG00000032114,234.3308456,385.1721207,-0.6623,7.17E-05,0.0012317,Slc37a4,chr9,+,44398176,44402963,2083,protein_coding,solute_carrier_family_37_(glucose-6-phosphate_transporter)_member_4,245,266,216,386,369,367,6.023946427,6.599446189,6.072271035,10.26566919,8.54707338,8.000636012
ENSMUSG00000063428,455.3582914,736.7774068,-0.6621,1.60E-06,5.09E-05,Ddo,chr10,+,40630011,40649931,3000,protein_coding,D-aspartate_oxidase,451,502,452,590,806,787,7.699447705,8.647639723,8.822747432,10.89481819,12.9626598,11.91245289
ENSMUSG00000000296,72.41000326,123.4853106,-0.66151,0.0031626,0.025457,Tpd52l1,chr10,-,31332380,31445921,1267,protein_coding,tumor_protein_D52-like_1,81,74,69,96,114,156,3.27425644,3.018354394,3.18903395,4.197433735,4.341187789,5.591079941
ENSMUSG00000019863,315.8572878,516.2347606,-0.66108,3.45E-05,0.00068804,Qrsl1,chr10,-,43874188,43901745,2290,protein_coding,glutaminyl-tRNA_synthase_(glutamine-hydrolyzing)-like_1,310,353,312,503,491,513,6.933148429,7.966257648,7.978215787,12.16807095,10.34490117,10.17254457
ENSMUSG00000028603,3368.754936,5414.277015,-0.66069,1.87E-08,1.04E-06,Scp2,chr4,-,108043839,108144998,2640,protein_coding,sterol_carrier_protein_2_liver,3971,3336,3131,4430,5602,5980,77.03715692,65.30361761,69.44896976,92.95848343,102.3810346,102.8596342
ENSMUSG00000032579,242.392839,396.8199633,-0.66035,6.55E-05,0.0011457,Hemk1,chr9,-,107327692,107338350,1888,protein_coding,HemK_methyltransferase_family_member_1,243,260,244,370,368,424,6.591869031,7.116828221,7.567884637,10.8564782,9.404293293,10.19791963
ENSMUSG00000025265,90.13644473,152.3017373,-0.65994,0.0017374,0.015871,Fgd1,chrX,+,151046150,151089521,4001,protein_coding,FYVE_RhoGEF_and_PH_domain_containing_1,90,123,70,124,175,152,1.152068347,1.588735813,1.024509891,1.716889578,2.11032738,1.725133684
ENSMUSG00000040111,436.5881406,708.2866213,-0.65973,3.18E-06,9.07E-05,Gramd1b,chr9,-,40293233,40531383,7334,protein_coding,GRAM_domain_containing_1B,534,495,340,620,720,745,3.729105223,3.488023632,2.714717723,4.683170985,4.736656894,4.612783648
ENSMUSG00000026853,5847.011086,9427.146278,-0.65875,5.19E-07,1.93E-05,Crat,chr2,-,30400471,30415813,4224,protein_coding,carnitine_acetyltransferase,6232,5764,5991,8479,8975,10229,75.56276157,70.52046836,83.05429132,111.2013235,102.5158186,109.9656353
ENSMUSG00000066975,74.91896482,130.0669839,-0.65761,0.0063118,0.043378,Cryba4,chr5,-,112246493,112252518,808,protein_coding,crystallin_beta_A4,58,97,76,138,120,119,3.676384439,6.204052995,5.507936165,9.461433823,7.165561398,6.687800647
ENSMUSG00000024617,579.8109269,933.6212424,-0.6576,7.80E-07,2.77E-05,Camk2a,chr18,+,60925618,60988152,4970,protein_coding,calcium/calmodulin-dependent_protein_kinase_II_alpha,601,639,554,707,1037,1032,6.193303597,6.644458524,6.527397229,7.880472458,10.06706109,9.429117049
